date,total_value,cash,open_positions_value
2025-02-03,20000000.0,20000000.0,0
2025-02-04,20000000.0,20000000.0,0
2025-02-05,20000000.0,20000000.0,0
2025-02-06,20000000.0,20000000.0,0
2025-02-07,20000000.0,20000000.0,0
2025-02-10,20000000.0,20000000.0,0
2025-02-11,20000000.0,20000000.0,0
2025-02-12,20000000.0,20000000.0,0
2025-02-13,20000000.0,20000000.0,0
2025-02-14,20000000.0,20000000.0,0
2025-02-17,20000000.0,20000000.0,0
2025-02-18,20000000.0,20000000.0,0
2025-02-19,20000000.0,20000000.0,0
2025-02-20,20000000.0,20000000.0,0
2025-02-21,20000000.0,20000000.0,0
2025-02-24,20000000.0,20000000.0,0
2025-02-25,20000000.0,20000000.0,0
2025-02-26,20000000.0,20000000.0,0
2025-02-27,20000000.0,20000000.0,0
2025-02-28,20000000.0,20000000.0,0
2025-03-03,20000000.0,20000000.0,0
2025-03-04,20000000.0,20000000.0,0
2025-03-05,20000000.0,20000000.0,0
2025-03-06,20000000.0,20000000.0,0
2025-03-07,20000000.0,20000000.0,0
2025-03-10,20000000.0,20000000.0,0
2025-03-11,20022457.43,18011357.43,2011100.0
2025-03-12,20010627.43,18011357.43,1999270.0
2025-03-13,19996067.43,18011357.43,1984710.0
2025-03-14,19987877.43,18011357.43,1976520.0
2025-03-17,20003347.43,18011357.43,1991990.0
2025-03-18,20010627.43,18011357.43,1999270.0
2025-03-19,20003347.43,18011357.43,1991990.0
2025-03-20,20006987.43,18011357.43,1995630.0
2025-03-21,19996067.43,18011357.43,1984710.0
2025-03-24,20015177.43,18011357.43,2003820.0
2025-03-25,20010627.43,18011357.43,1999270.0
2025-03-26,19999707.43,18011357.43,1988350.0
2025-03-27,19987877.43,18011357.43,1976520.0
2025-03-28,19984237.43,18011357.43,1972880.0
2025-03-31,19987877.43,18011357.43,1976520.0
2025-04-01,19992427.43,18011357.43,1981070.0
2025-04-02,19984237.43,18011357.43,1972880.0
2025-04-03,19739497.17,14025407.17,5714090.0
2025-04-04,19598979.84,19598979.84,0
2025-04-07,19598979.84,19598979.84,0
2025-04-08,19468625.84,13769675.84,5698950.0
2025-04-09,19094604.49,15525904.49,3568700.0
2025-04-10,19335554.49,15525904.49,3809650.0
2025-04-11,19589504.49,15525904.49,4063600.0
2025-04-14,19861504.49,15525904.49,4335600.0
2025-04-15,19859229.49,17750929.49,2108300.0
2025-04-16,19888229.49,17750929.49,2137300.0
2025-04-17,19915779.49,17750929.49,2164850.0
2025-04-18,19972536.84,19972536.84,0
2025-04-21,19972536.84,19972536.84,0
2025-04-22,19972536.84,19972536.84,0
